1,"Bohneneintopf Mexiko"
2,"Penne Arrabiata Vegetarisch"
3,"Seelachs mit Kartoffel-Knusperkruste"
4,"Nudelsuppe"
5,"Rouladen mit Rotkohl und Kartoffeln"
6,"Safransuppe mit Straussenfilet"
7,"Pangasiusfilet mit Kartoffelstampf"
8,"Raclette"
9,"Pfannkuchen mit Kirschen"
10,"Spargelravioli mit Sauce Hollandaise"
11,"Spinat mit Kartoffeln und Ei"
12,"Tofu-Reispfanne"
13,"Pilzravioli mit Sauce Hollandaise"
14,"Forelle Muellerin Art"
15,"Italienische Gemuesepfanne mit Haehnchen"
16,"Kugelfisch-Pfanne"
17,"Tofugeschnetzeltes Asiatisch"
18,"Pizza Hawaii"
19,"Chili con carne"
20,"Haehnchenbrust in Salbeisauce m. Reis"
21,"Cordon Bleu mit Kartoffeln"
22,"Toast Hawaii"
23,"Bunte Gemuesepfanne"
24,"Frischer Garnelensalat"
25,"Lachs Suess-Sauer"
26,"Gyros mit Pommes"
27,"Birnenmilchreis"
28,"Penne Arrabiata mit Speck"
29,"Omelette mit Kartoffeln"
30,"Kuerbissuppe mit Feta"
31,"Schokoladenfondue"
32,"Gemuesebratling mit Curryreis"
33,"Penne mit Spinatsauce"
34,"Moussaka"
35,"Asiatisches Schweinegeschnetzeltes"
36,"Frittierte Mozzarellakugeln in Gorgonzolasauce"
37,"Spaghetti Bolognese"
38,"Huehner-Nudel-Auflauf"
39,"Chickenburger"
40,"Penne mit Pesto Rosso"
41,"Schweinefilet mit gruenem Pfeffer und Reis"
42,"Rindergeschnetzeltes mit Reis"
43,"Truthahn in Estragonsauce mit Reis"
44,"Elcheintopf"
45,"Gnocchipfanne"
46,"Penne mit Pesto Verde"
47,"Belgische Pommes Rot-Weiss"
48,"Gnocchi mit Tomatensauce"
49,"Spaghetti Aglio e Olio"
50,"Truthahn mit Blumenkohl"
51,"Toast Italiano"
52,"Schweinefilet Avantgarde"
53,"Wurst im Teigmantel"
54,"Rustikales Landhaussteak"
55,"Risotto Tonno"
56,"Pizza Ruhrgebiet"
57,"Gebackener Camembert"
58,"Ringli Aglio e Olio"
59,"Kaesespaetzle"
60,"Nasi-Goreng nach Art des Hauses"
61,"Veggiburger"
62,"Zucchinisuppe"
63,"Halbes Schwein auf Toast"
64,"Tofu in Salbeisauce mit Reis"
65,"Kartoffeln mit Senfsauce und Ei"
66,"Pfannkuchen mit Apfelmus"
67,"Knoedel mit Pilzen"
68,"Bunte Gemuese-Nudelpfanne"
69,"Schweinesteak Essener Art"
70,"Huehnerfrikassee"
71,"Sojagyros mit Pommes"
72,"Fischburger"
73,"Schwaebische Maultaschen"
74,"Penne Aglio e Olio"
75,"Kaiserschmarrn"
76,"Bulgur a la Gourmand"
77,"Gemuesecurry"
78,"Kartoffelsuppe"
79,"Schweizer Kaesefondue"
80,"Paella"
81,"Gefuellte Paprika"
82,"Nudelauflauf Muelheimer Art"
83,"Cheeseburger"
84,"Schupfnudel-Broccoli-Pfanne"
85,"Kuerbiseintopf"
86,"Wildlachs mit Kartoffelpueree"
87,"Surf and Turf mit Pommes"
88,"Tomatensuppe mit Bratwurstbaellchen"
89,"Penne mit Trueffel-Pilz-Pesto"
90,"Koenigsberger Klopse"
91,"Spinat-Cannelloni"
92,"Seelachs mit Kartoffelsalat"
93,"Spaetzle mit Schinken-Kaese-Sahnesauce"
94,"Weightwatchers-Powerpfanne"
95,"Kartoffelgulasch"
96,"Gefuellte Johannisbeeren a la Goldt"
97,"Rumpsteak mit Kartoffelecken"
98,"Spaghetti Carbonara"
99,"Poekelfleisch mit Reis"
100,"Kuerbissuppe mit Haehnchen"
101,"Pfannkuchen mit Pilzen"
102,"Gurken-Schinken-Salat"
103,"Fischsuppe"
104,"Walpfanne Japanische Art"
105,"Hausgemachtes Schmalzbrot"
106,"Fleischtopf a la Gourmand"
107,"Lachs im Kartoffelmantel"
108,"Schweinegeschnetzeltes mit Kartoffelpuffer"
109,"Gemuesetopf Bombay"
